"","x"
"1",1.09866682923076
"2",1.43704350107102
"3",-2.77192080638471
"4",-3.02916483556343
"5",0.431732728412843
"6",-2.30368575876962
"7",1.53986741550558
"8",-0.894593107445709
"9",0.194710767168031
"10",1.02850754277481
"11",-2.63080140848699
"12",-1.49036774406022
"13",0.896795036836574
"14",1.22718642954802
"15",-0.0715009354986724
"16",0.194049478882869
"17",0.0870690190738128
"18",-0.169825725725653
"19",-2.3305335420995
"20",-0.0179909924489328
"21",0.334042582458454
"22",-0.553467912087572
"23",-0.415329500852748
"24",-0.595400314291386
"25",0.836010714940357
"26",-0.624068621708248
"27",-2.88220961363
"28",0.133299837147015
"29",1.12908175698178
"30",0.133653388374903
"31",-0.782203019352068
"32",-1.53968339661107
"33",-1.73133239956708
"34",0.0411248892648886
"35",-0.0335112387351234
"36",0.481050238965003
"37",1.40700157895945
"38",-2.42747187561649
"39",0.238505259035038
"40",0.02426320886641
"41",-0.226391384867862
"42",-1.43174995525152
"43",-0.223308777459395
"44",-1.12729572571049
"45",-2.14971568009473
"46",-0.96798319990965
"47",0.251959006108196
"48",-0.646949762862803
"49",-1.8651942409217
"50",0.795086218571782
"51",0.870241715691691
"52",0.0558497452762077
"53",-1.70495703733119
"54",-0.208202488177326
"55",0.691437802808514
"56",-0.410456969356978
"57",1.22471908800534
"58",0.746598365704957
"59",0.202466928208068
"60",-0.891366691860801
"61",1.8310174468385
"62",0.503906341851505
"63",0.515048033234466
"64",-0.432693028803315
"65",-0.172984624804663
"66",-1.48688776234114
"67",-0.0208937060060509
"68",-1.09135948384969
"69",0.252381912302258
"70",-0.500427763674793
"71",0.061546886164678
"72",-0.890420646587903
"73",-2.17427362213508
"74",-0.0219937533937697
"75",-0.724122728206583
"76",-2.14120665121304
"77",-0.6619960802287
"78",-0.0128245786156292
"79",-1.31855063804681
"80",-0.349885695804042
"81",0.551364559729804
"82",-1.72437161638686
"83",-0.427002187879356
"84",-0.503404981739975
"85",-1.28244085179953
"86",0.0761440175660462
"87",1.42652894066286
"88",-1.9827284019918
"89",-0.106929211877297
"90",-0.4369573936447
"91",1.7111713152027
"92",-0.718553675478832
"93",-0.828744425403096
"94",0.793747116028014
"95",0.404939907855941
"96",0.175110706958878
"97",0.0464153172428031
"98",-1.66034408133401
"99",-1.0089314065953
"100",0.0918547923864208
"101",-0.817066666333574
"102",-1.3515958628135
"103",1.81366407370135
"104",0.855345346345848
"105",0.16121172958426
"106",-0.495920185874613
"107",-1.59203866652346
"108",-2.98493815985804
"109",2.15478382280703
"110",1.2858568290597
"111",-0.170010672424129
"112",0.172018155435215
"113",-0.279239274546601
"114",0.306887443984637
"115",0.831198946670782
"116",-2.09585073570412
"117",-0.345761468966926
"118",0.516790941548165
"119",-2.87371145504849
"120",-0.0686800920801732
"121",1.30075216784722
"122",-0.600852708948519
"123",0.813167462487155
"124",-0.000249246111279147
"125",0.483785353332556
"126",-0.506780183039997
"127",0.74206044529755
"128",-2.877320385298
